componente,valor_singular,varianza_explicada,varianza_acumulada
120,10.049109,0.0006788417987601064,0.9155890188459449
121,9.963465,0.0006673200876688766,0.9162563389336138
122,9.920207,0.0006615381478722982,0.9169178770814861
123,9.863466,0.0006539921703348292,0.9175718692518209
124,9.782464,0.0006432946523578586,0.9182151639041788
125,9.723462,0.000635558123303615,0.9188507220274824
126,9.655905,0.000626757255144645,0.919477479282627
127,9.612474,0.0006211318770214797,0.9200986111596485
128,9.575622,0.0006163783471500806,0.9207149895067986
129,9.557789,0.0006140847123011586,0.9213290742190998
130,9.4333935,0.0005982040122429902,0.9219272782313428
131,9.368472,0.0005899985679350344,0.9225172767992779
132,9.2905035,0.0005802189713423581,0.9230974957706202
133,9.240202,0.0005739530237471781,0.9236714487943674
134,9.17058,0.0005653364938846971,0.924236785288252
135,9.129712,0.0005603089860113721,0.9247970942742634
136,9.094616,0.000556009419684554,0.925353103693948
137,9.0422945,0.0005496303643554062,0.9259027340583034
138,9.015357,0.0005463604849859936,0.9264490945432894
139,8.960903,0.00053978025070438,0.9269888747939937
140,8.934221,0.0005365705473416236,0.9275254453413353
141,8.84877,0.0005263556023779268,0.9280518009437132
142,8.829195,0.0005240293860107527,0.9285758303297239
143,8.768889,0.0005168953314064789,0.9290927256611304
144,8.713476,0.0005103831391632241,0.9296031088002936
145,8.670729,0.0005053876393218783,0.9301084964396155
146,8.61554,0.0004989745359711763,0.9306074709755866
147,8.572994,0.0004940586247137906,0.9311015296003003
148,8.527184,0.0004887926233161304,0.9315903222236165
149,8.502379,0.0004859531312097064,0.9320762753548262
150,8.440106,0.00047886077533978706,0.9325551361301659
151,8.3845625,0.0004725787987350376,0.933027714928901
152,8.36719,0.0004706225377959696,0.933498337466697
153,8.298543,0.00046293190905659365,0.9339612693757535
154,8.253228,0.00045788996693664084,0.9344191593426902
155,8.195277,0.0004514822901100286,0.9348706416328002
156,8.167737,0.00044845297864411123,0.9353190946114444
157,8.15009,0.0004465172634501261,0.9357656118748945
158,8.131577,0.00044449095747580846,0.9362101028323703
159,8.08909,0.00043985830286256055,0.9366499611352328
160,8.021977,0.0004325898178598176,0.9370825509530926
161,7.9723806,0.00042725728212246434,0.937509808235215
162,7.9489512,0.0004247497074833533,0.9379345579426984
163,7.876503,0.0004170424915353274,0.9383516004342337
164,7.8486733,0.0004141006678192507,0.9387657011020529
165,7.825999,0.0004117114773912447,0.9391774125794442
166,7.8005037,0.00040903335071123414,0.9395864459301554
167,7.7733774,0.0004061934638737632,0.9399926393940291
168,7.7159243,0.0004002112884114162,0.9403928506824405
169,7.6865916,0.0003971742085859964,0.9407900248910265
170,7.6293716,0.00039128298567049755,0.941181307876697
171,7.576961,0.0003859255487950033,0.941567233425492
172,7.5621996,0.00038442329199917435,0.9419516567174911
173,7.5411973,0.00038229096030321664,0.9423339476777943
174,7.5227766,0.0003804256159440918,0.9427143732937384
175,7.4709945,0.00037520641258910573,0.9430895797063276
176,7.4577775,0.0003738800279365956,0.9434634597342642
177,7.4482584,0.000372926196827649,0.9438363859310918
178,7.4013686,0.00036824553590828634,0.9442046314670001
179,7.355846,0.0003637296212212206,0.9445683610882213
180,7.3350687,0.00036167775137006927,0.9449300388395914
181,7.308551,0.0003590673910211981,0.9452891062306126
182,7.25497,0.00035382186938301565,0.9456429280999956
183,7.1840377,0.000346937005560145,0.9459898651055557
184,7.139963,0.000342693102037946,0.9463325582075937
185,7.127101,0.0003414595329479245,0.9466740177405416
186,7.0839705,0.0003373392816012618,0.9470113570221429
187,7.03951,0.00033311811819194346,0.9473444751403348
